"","DEVELOPMENT_ID","DEVELOPMENT_NAME","CBSA_CODE","COUNTY_NAME","COUNTY_CODE","STATE_NAME.x","STATE_CODE","ZIPCODE","LATITUDE","LONGITUDE","PHA_CODE","INSPECTION_SCORE","year","TRACT_2010","TRACT_2020","BLOCK_2010","BLOCK_2020","tract","block","block_group","FloodDistM","in_floodplain","age_c","total_pop_c","total_white_c","total_black_c","total_hispanic_c","poverty_c","income_c","public_assistance_c","owner_c","renter_c","vehicles_c","prop_value_c"
"21","AL129000001","JAMES R. BAIRD APTS.",27530,"Walker",127,"AL",1,35062,33.753013,-87.07015,"AL129",95,2017,1127021700,1127021700,11270217003077,11270217003064,1127021700,11270217003077,11270217003,5920.77483,0,41.4,4419,3909,444,19,1271,43598,1743,1406,337,1743,89100
"22","AL144000001","MAGNOLIA HOMES",20020,"Houston",69,"AL",1,36312,31.189669,-85.239857,"AL144",98,2017,1069041900,1069041902,10690419003019,10690419021009,1069041900,10690419003019,10690419003,20138.46046,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"23","AL001000033","Park Place III",13820,"Jefferson",73,"AL",1,35203,33.520873,-86.807606,"AL001",92,2017,1073002700,1073002702,10730027001074,10730027025025,1073002700,10730027001074,10730027001,31695.33802,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"24","AL049000005","CAMPBELL COURT",23460,"Etowah",55,"AL",1,35903,34.002759,-85.964078,"AL049",81,2017,1055011200,1055011200,10550112001038,10550112001028,1055011200,10550112001038,10550112001,16475.16227,0,40.7,2438,810,1276,282,531,21466,1034,394,640,1034,47000
"25","AL049000004","GATEWAY VILLAGE",23460,"Etowah",55,"AL",1,35901,34.013196,-86.024205,"AL049",93,2017,1055001000,1055001000,10550010001009,10550010001009,1055001000,10550010001009,10550010001,19970.38157,0,28.1,1460,366,730,219,281,24653,425,213,212,425,51100
"26","AL014000300","ADDN MARTIN MANOR",10700,"Marshall",95,"AL",1,35976,34.361456,-86.306069,"AL014",96,2017,1095030702,1095030702,10950307023014,10950307023013,1095030702,10950307023014,10950307023,22986.57765,0,40.5,3654,3148,159,89,1014,37878,1505,1000,505,1505,110500
"27","AL090000001","STALCUP CIRCLE",99999,"Franklin",59,"AL",1,35581,34.355039,-87.71529,"AL090",91,2017,1059973700,1059973702,10599737003012,10599737021012,1059973700,10599737003012,10599737003,11842.37443,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"28","AL169000005","HOPE VI Family Sales Phase IV",33660,"Mobile",97,"AL",1,36610,30.739953,-88.102081,"AL169",97,2017,1097004000,1097004000,10970040002018,10970040002008,1097004000,10970040002018,10970040002,32327.12419,0,26.7,2480,0,2480,0,526,22778,816,336,480,816,53200
"29","AL168000001","NORTHSIDE HOMES",22840,"Dekalb",49,"AL",1,35986,34.4952,-85.8868,"AL168",87,2017,1049960300,1049960303,10499603004046,10499603032023,1049960300,10499603004046,10499603004,672.4686841,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"30","AL152000010","TWIN MANOR",46220,"Tuscaloosa",125,"AL",1,35476,33.227439,-87.583646,"AL152",97,2017,1125010404,1125010404,11250104042004,11250104042004,1125010404,11250104042004,11250104042,30080.2093,0,27.1,2552,941,1555,0,590,40641,934,410,524,934,116400
"31","AL152000009","TWIN MANOR",46220,"Tuscaloosa",125,"AL",1,35476,33.227789,-87.581658,"AL152",98,2017,1125010404,1125010404,11250104043004,11250104043004,1125010404,11250104043004,11250104043,30238.12173,0,27.1,2552,941,1555,0,590,40641,934,410,524,934,116400
"32","AL152000012","Gold Star Acres",46220,"Tuscaloosa",125,"AL",1,35476,33.22956,-87.590112,"AL152",98,2017,1125010403,1125010403,11250104032002,11250104032002,1125010403,11250104032002,11250104032,29436.3584,0,41,4033,2265,1508,160,919,44375,1520,906,614,1520,140200
"33","AL152000011","BROOKMEADE",46220,"Tuscaloosa",125,"AL",1,35476,33.23791,-87.588778,"AL152",100,2017,1125010403,1125010403,11250104033020,11250104033019,1125010403,11250104033020,11250104033,29231.04743,0,41,4033,2265,1508,160,919,44375,1520,906,614,1520,140200
"34","AL157000013","HOBSON/JACKSON/CTRVLLE",46220,"Hale",65,"AL",1,36744,32.70258,-87.606686,"AL157",91,2017,1065040400,1065040401,10650404004019,10650404012027,1065040400,10650404004019,10650404004,22925.65282,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"35","AL012000006","PETREE/MATHEWS APTS",27530,"Walker",127,"AL",1,35501,33.827621,-87.285559,"AL012",93,2017,1127020100,1127020100,11270201002006,11270201002004,1127020100,11270201002006,11270201002,381.416642,0,44.1,2954,1883,950,14,734,23846,1228,801,427,1228,64100
"36","AL098000001","FRANCONIA VILLAGE",46220,"Pickens",107,"AL",1,35442,33.12645,-88.164457,"AL098",95,2017,1107050400,1107050401,11070504005061,11070504011041,1107050400,11070504005061,11070504005,651.83411,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"37","AL107000001","MORROW VILLAGE",21460,"Coffee",31,"AL",1,36323,31.435236,-86.077966,"AL107",98,2017,1031010500,1031010500,10310105004009,10310105004008,1031010500,10310105004009,10310105004,521.542913,0,40.1,4547,2668,1677,82,1092,35386,1589,980,609,1589,105500
"38","AL199000001","VALLEY HA",29300,"Chambers",17,"AL",1,36854,32.79949,-85.19374,"AL199",85,2017,1017954300,1017954300,10179543003004,10179543004032,1017954300,10179543003004,10179543003,980.1005277,0,35.5,5102,3074,1587,149,1279,45455,2220,1196,1024,2220,82600
"39","AL005000005","STOUGH",17980,"Russell",113,"AL",1,36869,32.4263,-85.0756,"AL005",75,2017,1113030901,1113030907,11130309012018,11130309072001,1113030901,11130309012018,11130309012,10383.54441,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"40","AL011000001","WILLIAMS AVE. APTS.",22840,"Dekalb",49,"AL",1,35967,34.455106,-85.714701,"AL011",89,2017,1049961100,1049961100,10499611002004,10499611002004,1049961100,10499611002004,10499611002,965.345373,0,38.7,3271,2717,26,451,700,46042,1097,730,367,1097,103900
"41","AL052000001","WESTFIELD ADDN",18980,"Cullman",43,"AL",1,35055,34.169938,-86.854182,"AL052",98,2017,1043965000,1043965002,10439650004006,10439650024005,1043965000,10439650004006,10439650004,2115.616209,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"42","AL052000004","HILLTOP",18980,"Cullman",43,"AL",1,35055,34.17559,-86.85672,"AL052",99,2017,1043964800,1043964800,10439648003060,10439648003055,1043964800,10439648003060,10439648003,2557.64147,0,36.9,4481,3912,0,400,1109,39068,1733,863,870,1733,132000
"43","AL011000002","LOOKOUT COURTS",22840,"Dekalb",49,"AL",1,35967,34.456045,-85.700801,"AL011",93,2017,1049961300,1049961300,10499613002002,10499613002001,1049961300,10499613002002,10499613002,818.403058,0,31.8,5783,3858,199,1521,1206,37398,2118,1100,1018,2118,103800
"44","AL062000002","CRYSTAL SPRINGS",29300,"Chambers",17,"AL",1,36863,32.857679,-85.199179,"AL062",72,2018,1017954500,1017954800,10179545001025,10179548001018,1017954500,10179545001025,10179545001,1183.412464,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"45","AL091001003","STONE CREEK",10700,"Marshall",95,"AL",1,35016,34.314457,-86.506195,"AL091",98,2017,1095030401,1095030401,10950304012033,10950304011018,1095030401,10950304012033,10950304012,17612.82924,0,43.3,4505,4255,34,61,1150,43326,1793,1331,462,1793,130800
"46","AL062000001","JACKSON HEIGHTS",29300,"Chambers",17,"AL",1,36863,32.876526,-85.200609,"AL062",66,2017,1017953900,1017953900,10179539003008,10179539002009,1017953900,10179539003008,10179539003,1202.377631,0,46.5,2987,1437,1524,0,793,33564,1219,838,381,1219,100300
"47","AL096000001","SOUTHSIDE COURTS",99999,"Cleburne",29,"AL",1,36264,33.634649,-85.59142,"AL096",85,2017,1029959600,1029959600,10299596003050,10299596003043,1029959600,10299596003050,10299596003,634.4631596,0,40.9,3837,3428,295,15,879,25526,1592,945,647,1592,99100
"48","AL117000001","CHATOM APTS",33660,"Washington",129,"AL",1,36518,31.461126,-88.255134,"AL117",94,2017,1129044000,1129044000,11290440002026,11290440002022,1129044000,11290440002026,11290440002,30252.77232,0,44.9,3560,2656,821,63,911,38750,1351,1133,218,1351,75700
"49","AL134000001","COLLEGE HILL",13820,"Blount",9,"AL",1,35031,34.081344,-86.594683,"AL134",87,2017,1009050500,1009050501,10090505003010,10090505013009,1009050500,10090505003010,10090505003,11131.70057,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"50","AL139000001","ROEBUCK MANOR",11500,"Calhoun",15,"AL",1,36265,33.808607,-85.759682,"AL139",98,2018,1015002103,1015002105,10150021031013,10150021051008,1015002103,10150021031013,10150021031,21807.22521,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"51","AL150000010","NORFIELD",13820,"Chilton",21,"AL",1,35045,32.852596,-86.632012,"AL150",95,2017,1021060102,1021060104,10210601023000,10210601043000,1021060102,10210601023000,10210601023,252.8850972,0,36.679674796748,3047.73983739837,1381.19512195122,1441.44715447154,154.292682926829,728.536585365854,29710.4308943089,1176.0487804878,638.666666666667,537.382113821138,1176.0487804878,89722.6890756302
"52","AL140000001","CHEROKEE COURT",99999,"Cherokee",19,"AL",1,35960,34.140989,-85.657154,"AL140",87,2018,1019955900,1019955900,10199559001060,10199559003001,1019955900,10199559001060,10199559001,2597.892168,0,45.7,4011,3640,245,37,1116,46690,1633,1263,370,1633,112600
"53","AL009000003","HANBY MANOR",23460,"Etowah",55,"AL",1,35954,34.018582,-86.111751,"AL009",87,2018,1055010200,1055010202,10550102001005,10550102021074,1055010200,10550102001005,10550102001,26814.22534,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"54","AL013000001","NESTLEWOOD",13820,"Jefferson",73,"AL",1,35217,33.574662,-86.787904,"AL013",97,2018,1073005500,1073005500,10730055002039,10730055002042,1073005500,10730055002039,10730055002,31034.09733,0,30.5,2017,365,1502,134,471,22424,718,322,396,718,59200
"55","AL008000012","Moss Court",42820,"Dallas",47,"AL",1,36701,32.4247,-87.0574,"AL008",99,2018,1047956800,1047956800,10479568002012,10479568002010,1047956800,10479568002012,10479568002,524.0101476,0,37.3,2530,570,1810,1,644,33466,954,460,494,954,136700
"56","AL080000001","MCWHORTER APTS.",19460,"Lawrence",79,"AL",1,35650,34.496411,-87.283153,"AL080",95,2018,1079979400,1079979400,10799794001008,10799794001036,1079979400,10799794001008,10799794001,38046.52658,0,43.5,4293,3249,637,139,1126,34436,1798,1052,746,1798,103200
"57","AL088000001","ELLIS DRIVE",99999,"Crenshaw",41,"AL",1,36049,31.713248,-86.257097,"AL088",96,2018,1041963700,1041963700,10419637002027,10419637002022,1041963700,10419637002027,10419637002,32163.64053,0,40.8,3900,2671,859,22,945,44939,1351,902,449,1351,79000
"58","AL095000010","MILLPORT",99999,"Lamar",75,"AL",1,35576,33.5601,-88.075332,"AL095",99,2018,1075030200,1075030200,10750302003049,10750302003043,1075030200,10750302003049,10750302003,296.3489082,0,46.1,4022,3487,419,113,1259,45000,1790,1426,364,1790,80500
"59","AL123000001","VANN-BRIDGES APTS",20020,"Henry",67,"AL",1,36345,31.351137,-85.332997,"AL123",97,2018,1067030500,1067030500,10670305003022,10670305003020,1067030500,10670305003022,10670305003,10883.54133,0,39.7,6535,4860,1537,62,1672,59232,2357,1985,372,2357,151900
"60","AL111000001","WESTLAWN HGTS/NORTHSIDE",99999,"Covington",39,"AL",1,36442,31.010178,-86.333315,"AL111",78,2018,1039963000,1039963000,10399630003017,10399630003012,1039963000,10399630003017,10399630003,38575.98217,0,49.6,3036,2646,301,56,747,30705,1240,879,361,1240,80700
"61","AL143000001","CARROLL AND COLE HOMES",20020,"Geneva",61,"AL",1,36375,31.103771,-85.602499,"AL143",96,2018,1061050500,1061050500,10610505003039,10610505003025,1061050500,10610505003039,10610505003,12046.19087,0,41.9,4620,3632,513,381,1249,42180,1697,1169,528,1697,74500
"62","AL149000001","NEW BROCKTON HA",21460,"Coffee",31,"AL",1,36351,31.383488,-85.924264,"AL149",92,2018,1031010300,1031010300,10310103001201,10310103001093,1031010300,10310103001201,10310103001,7274.214364,0,43,4888,4259,232,160,1342,59565,1816,1437,379,1816,153900
"63","AL179000001","NEWTON RD AND DONNELL CR",37120,"Dale",45,"AL",1,36322,31.318739,-85.708356,"AL179",99,2018,1045021102,1045021102,10450211022001,10450211022001,1045021102,10450211022001,10450211022,2753.364841,0,39.7,4066,2808,826,287,971,39136,1747,788,959,1747,96700
"64","AL008000003","FELIX HEIGHTS",42820,"Dallas",47,"AL",1,36701,32.424675,-87.049864,"AL008",51,2018,1047956800,1047956800,10479568002012,10479568002010,1047956800,10479568002012,10479568002,542.0132458,0,37.3,2530,570,1810,1,644,33466,954,460,494,954,136700
"65","AL002000012","CENTRAL PLAZA TOWERS",33660,"Mobile",97,"AL",1,36607,30.699054,-88.105987,"AL002",30,2018,1097002600,1097002600,10970026001007,10970026001007,1097002600,10970026001007,10970026001,33916.48291,0,42.7,2441,336,2078,0,559,24205,988,552,436,988,72200
"66","AL053000030","DOUBLE SPRINGS",99999,"Winston",133,"AL",1,35575,34.046532,-87.550356,"AL053",87,2018,1133965900,1133965900,11339659003032,11339659003024,1133965900,11339659003032,11339659003,16600.1597,0,45.5,2196,2124,0,28,596,39125,862,712,150,862,67600
"67","AL084000010","VERNON COURTS",99999,"Lamar",75,"AL",1,35592,33.754467,-88.110303,"AL084",81,2018,1075030100,1075030101,10750301005040,10750301012040,1075030100,10750301005040,10750301005,219.9093544,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"68","AL051000001","FIFTH COURT",99999,"Franklin",59,"AL",1,35582,34.447609,-88.142968,"AL051",94,2018,1059973400,1059973400,10599734003041,10599734003042,1059973400,10599734003041,10599734003,1222.221831,0,36.7,2871,2714,0,7,627,35784,1053,787,266,1053,82800
"69","AL064000001","MEADOWVIEW",27530,"Walker",127,"AL",1,35549,33.898432,-87.525647,"AL064",96,2018,1127021100,1127021100,11270211001029,11270211001026,1127021100,11270211001029,11270211001,785.4423486,0,43.9,3189,2948,131,1,879,32806,1340,887,453,1340,58100
"70","AL121000001","ALAMEDA",10700,"Marshall",95,"AL",1,35950,34.267723,-86.220195,"AL121",94,2018,1095030903,1095030903,10950309032010,10950309031009,1095030903,10950309032010,10950309032,28532.77963,0,33.4,5424,3610,356,1424,1186,33253,2011,952,1059,2011,96600
"71","AL167000010","AVERY SITE",42460,"Jackson",71,"AL",1,35772,34.876141,-85.824842,"AL167",92,2018,1071950300,1071950301,10719503003156,10719503011133,1071950300,10719503003156,10719503003,182.3773155,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"72","AL190000004","Branch Heights II",46220,"Greene",63,"AL",1,35462,33.006086,-87.902797,"AL190",94,2018,1063060000,1063060000,10630600001144,10630600001045,1063060000,10630600001144,10630600001,22171.30242,0,34.1,1814,238,1416,140,339,25135,564,392,172,564,48500
"73","AL156000002","BRYANT CIRCLE",12120,"Escambia",53,"AL",1,36426,31.12861,-87.060169,"AL156",98,2018,1053970200,1053970200,10539702001018,10539702001016,1053970200,10539702001018,10539702001,24368.69992,0,38.6,1849,424,1425,0,366,22697,669,420,249,669,89300
"74","AL190000003","Branch Heights",46220,"Greene",63,"AL",1,35462,32.81936,-87.889444,"AL190",83,2018,1063060100,1063060101,10630601004022,10630601012013,1063060100,10630601004022,10630601004,14371.16651,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"75","AL158000001","DOWNS AND WESTFIELD",21640,"Barbour",5,"AL",1,36016,31.884792,-85.450864,"AL158",85,2018,1005950200,1005950200,10059502001041,10059502001029,1005950200,10059502001041,10059502001,27032.22893,0,40.7,3795,1358,2274,93,596,31642,961,616,345,961,93800
"76","AL006000007","GIBBS VILLAGE",33860,"Montgomery",101,"AL",1,36108,32.358062,-86.346674,"AL006",82,2018,1101001000,1101001000,11010010002034,11010010002022,1101001000,11010010002034,11010010002,6689.622433,0,28.6,1541,80,1381,28,329,14397,517,124,393,517,53500
"77","AL047000002","BUTLER TERRACE",26620,"Madison",89,"AL",1,35805,34.722768,-86.598233,"AL047",89,2018,1089002100,1089002100,10890021001006,10890021001023,1089002100,10890021001006,10890021001,30038.32011,0,25.4,3255,809,1747,607,683,18152,1392,237,1155,1392,48000
"78","AL006000012","THE PLAZA AT CENTENNIAL HILL",33860,"Montgomery",101,"AL",1,36104,32.372865,-86.291753,"AL006",90,2018,1101000600,1101000600,11010006001015,11010006001018,1101000600,11010006001015,11010006001,4696.431641,0,28.3,1706,55,1603,47,380,20682,622,193,429,622,75400
"79","AL047000014","L.R. PATTON APTS.",26620,"Madison",89,"AL",1,35805,34.72211,-86.597602,"AL047",85,2018,1089001200,1089001200,10890012002041,10890012002014,1089001200,10890012002041,10890012002,30108.92542,0,27,2753,98,2575,71,779,11657,1230,256,974,1230,55600
"80","AL047000016","SCATTERED SITES",26620,"Madison",89,"AL",1,35802,34.649609,-86.542282,"AL047",93,2018,1089002721,1089002721,10890027212004,10890027212023,1089002721,10890027212004,10890027212,24299.15725,0,47.1,3963,3237,502,41,1106,73850,1759,1279,480,1759,233400
"81","AL077000010","BRANSCOMB",46220,"Tuscaloosa",125,"AL",1,35405,33.151012,-87.541726,"AL077",88,2018,1125012404,1125012404,11250124041052,11250124041030,1125012404,11250124041052,11250124041,37354.07244,0,36.5,2904,430,2241,202,667,48938,1099,611,488,1099,147700
"82","AL073000333","GLENWAY HOMES",37120,"Dale",45,"AL",1,36360,31.438321,-85.637506,"AL073",94,2018,1045020700,1045020700,10450207003012,10450207003012,1045020700,10450207003012,10450207003,9508.855383,0,38.4,3140,1203,1812,0,627,21972,1265,536,729,1265,73100
"83","AL047000051","BROOKSIDE",26620,"Madison",89,"AL",1,35805,34.718134,-86.596074,"AL047",88,2018,1089002100,1089002100,10890021002030,10890021002014,1089002100,10890021002030,10890021002,30338.05029,0,25.4,3255,809,1747,607,683,18152,1392,237,1155,1392,48000
"84","AL066000001","REFORM HA",46220,"Pickens",107,"AL",1,35481,33.384516,-88.020506,"AL066",93,2018,1107050100,1107050100,11070501004065,11070501004045,1107050100,11070501004065,11070501004,391.455917,0,46.7,3706,2164,1260,249,968,30231,1447,985,462,1447,82800
"85","AL077000014","Rosedale Court Phase I",46220,"Tuscaloosa",125,"AL",1,35401,33.184767,-87.553195,"AL077",92,2018,1125012405,1125012407,11250124053004,11250124071008,1125012405,11250124053004,11250124053,34595.80473,0,36.8990990990991,3307.97297297297,1648.00900900901,1438.14414414414,146.099099099099,789.09009009009,31283.9369369369,1277.81081081081,711.486486486486,566.324324324324,1277.81081081081,93375.9259259259
"86","AL073000111","OZARK HA",37120,"Dale",45,"AL",1,36360,31.454269,-85.653707,"AL073",85,2018,1045020700,1045020700,10450207001037,10450207001028,1045020700,10450207001037,10450207001,11644.06896,0,38.4,3140,1203,1812,0,627,21972,1265,536,729,1265,73100
"87","AL047000052","LINCOLN",26620,"Madison",89,"AL",1,35801,34.742551,-86.587187,"AL047",93,2018,1089003000,1089003000,10890030002050,10890030002055,1089003000,10890030002050,10890030002,27790.81216,0,37.6,2589,1290,979,265,510,18867,1152,392,760,1152,75400
"88","AL077000016","Rosedale Phase II",46220,"Tuscaloosa",125,"AL",1,35401,33.18746,-87.553616,"AL077",88,2018,1125011902,1125011902,11250119022017,11250119022018,1125011902,11250119022017,11250119022,34426.45295,0,27,1787,301,1428,11,342,18409,830,97,733,830,182600
